[10]2,3,0,-0.06944444444444443,,14
[0]1,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,1,0,-0.020833333333333332,,0
|[1, 0]1|,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,1,0,-0.125,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 2]1|,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4]1|,0,0,0,,0
|[1, 5]1|,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1, 0]1|,0,0,0,,0
|[4, 1, 2]1|,1,0,0,,0
|[4, 1, 3]1|,0,0,0,,0
|[4, 1, 4]1|,0,0,0,,0
|[4, 1, 5]1|,0,0,0,,0
|[4, 5]1|,0,0,0,,0
[5]1,0,0,0,,0
[11]2,5,0,0.19166666666666668,,16
[0]1,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,1,0,0.125,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 0]1|,1,0,0,,5
[7]2,1,0,-0.0625,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 2]1|,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,1,0,-0.041666666666666664,,0
[12]2,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4]1|,0,0,0,,0
|[1, 5]1|,0,0,0,,0
[2]1,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1, 0]1|,0,0,0,,0
|[4, 1, 2]1|,0,0,0,,0
|[4, 1, 3]1|,0,0,0,,0
|[4, 1, 4]1|,0,0,0,,0
|[4, 1, 5]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 5]1|,0,0,0,,0
[5]1,1,0,0,,0
[12]2,4,0,-0.02083333333333333,,18
[0]1,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,1,0,0.20833333333333334,,0
|[1, 0]1|,1,0,0,,0
|[1, 2]1|,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,1,0,-0.041666666666666664,,0
[11]2,0,0,0,,0
|[1, 3]1|,1,0,0,,5
[7]2,1,0,-0.08333333333333333,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
|[1, 4]1|,0,0,0,,0
|[1, 5]1|,0,0,0,,0
[2]1,0,0,0,,0
[3]1,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1, 0]1|,0,0,0,,0
|[4, 1, 2]1|,0,0,0,,0
|[4, 1, 3]1|,0,0,0,,0
|[4, 1, 4]1|,0,0,0,,0
|[4, 1, 5]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 3]1|,0,0,0,,0
|[4, 5]1|,0,0,0,,0
[5]1,0,0,0,,0
|[2, 4]1|,21,0,0,,5
[8]2,5,0,-0.012499999999999997,,4
[0]1,2,0,0,,4
[9]2,1,0,-0.08333333333333333,,0
